instance_type,scope3_hourly,slope,intercept,error,r_value,p_value,max_power
a1.medium,1.8,0.028870967741935483,1.4701612903225807,0.004012046117365423,0.9812307724222119,0.018769227577788098,4.2
a1.large,3.7,0.05870967741935484,2.926612903225807,0.007710369114604984,0.9831860820339369,0.016813917966063123,8.5
a1.xlarge,7.4,0.11725806451612904,5.834677419354837,0.014867389885178817,0.9843013415002092,0.01569865849979079,17.0
a1.2xlarge,14.8,0.23516129032258065,11.618548387096773,0.030297368550800112,0.9838033163771658,0.016196683622834215,34.0
a1.4xlarge,29.6,0.4700000000000001,23.224999999999994,0.06112355282276554,0.9835042966858377,0.016495703314162277,67.9
a1.metal,29.6,0.4700000000000001,23.224999999999994,0.06112355282276554,0.9835042966858377,0.016495703314162277,67.9
c1.medium,1.9,0.07048387096774195,3.655645161290322,0.010798926123047146,0.977321755710035,0.022678244289965007,10.3
c1.xlarge,7.4,0.28145161290322585,14.666935483870967,0.04352829584330008,0.9769067078589337,0.023093292141066254,41.2
cr1.8xlarge,46.8,2.7640322580645162,150.13870967741934,0.36400983608967313,0.9830949127546423,0.016905087245357664,415.4
cc2.8xlarge,45.2,2.083548387096774,108.53306451612903,0.3188802783081149,0.9773688091956612,0.02263119080433884,305.3
c3.large,2.0,0.10693548387096774,5.572580645161292,0.01614394471907684,0.9779590806341205,0.022040919365879482,15.7
c3.xlarge,3.9,0.21338709677419354,11.214516129032258,0.032202573238873156,0.9779753124353889,0.022024687564611064,31.4
c3.2xlarge,7.9,0.4279032258064516,22.333870967741937,0.06462219104488973,0.9779445176596969,0.02205548234030307,62.8
c3.4xlarge,15.8,0.8546774193548385,44.76290322580645,0.1290268648066421,0.9779600533203653,0.022039946679634718,125.6
c3.8xlarge,31.5,1.7091935483870968,89.50725806451612,0.25754790781114456,0.9780395408651091,0.02196045913489086,251.2
c4.large,1.7,0.12241935483870968,6.453225806451613,0.01903669986440321,0.9766617053363842,0.023338294663615814,18.0
c4.xlarge,3.4,0.24612903225806454,12.829838709677416,0.036911617165735204,0.9782408039342902,0.02175919606570975,36.1
c4.2xlarge,6.7,0.49145161290322575,25.666935483870972,0.07504538169145002,0.9774673833508233,0.02253261664917671,72.1
c4.4xlarge,13.4,0.9840322580645163,51.33870967741935,0.15031128816784287,0.9774534339459483,0.022546566054051698,144.3
c4.8xlarge,30.2,2.1861290322580644,113.8298387096774,0.3361228890064587,0.9771667033239492,0.02283329667605083,320.2
c5.large,1.1,0.12629032258064515,5.948387096774194,0.01517286791993231,0.9858709066958045,0.014129093304195537,18.0
c5.xlarge,2.2,0.25225806451612903,11.859677419354838,0.031209989995934093,0.9850354861063022,0.014964513893697795,35.9
c5.2xlarge,4.3,0.5048387096774194,23.73145161290323,0.061893729625136236,0.9852996194605776,0.014700380539422353,71.9
c5.4xlarge,8.6,1.0091935483870966,47.432258064516134,0.12376355179689195,0.9852913874500404,0.014708612549959591,143.7
c5.9xlarge,19.4,2.2711290322580644,106.75483870967741,0.2787547333279885,0.985267376885508,0.014732623114491968,323.4
c5.12xlarge,19.4,3.634516129032258,122.61935483870968,0.45749260071463316,0.9845225210552303,0.01547747894476969,466.6
c5.18xlarge,38.9,4.541612903225807,213.5604838709677,0.5569467000449392,0.9852923665001158,0.014707633499884238,646.8
c5.24xlarge,38.9,7.268548387096774,245.30806451612898,0.9151536507464243,0.984514939525793,0.015485060474206945,933.2
c5.metal,38.9,7.268548387096774,245.30806451612898,0.9151536507464243,0.984514939525793,0.015485060474206945,933.2
c5a.large,0.7,0.0664516129032258,3.2169354838709676,0.009199559438394983,0.981368326710258,0.018631673289742016,9.5
c5a.xlarge,1.5,0.1320967741935484,6.466129032258064,0.017280284158645593,0.9833144473620252,0.016685552637974777,19.0
c5a.2xlarge,3.0,0.26370967741935486,12.976612903225805,0.0348524278547036,0.9829778835572326,0.017022116442767413,38.0
c5a.4xlarge,6.0,0.5283870967741936,25.93951612903226,0.06939332203144509,0.9831860820339368,0.01681391796606324,76.1
c5a.8xlarge,12.0,1.0566129032258065,51.86048387096774,0.14021192800708202,0.9828427414606778,0.01715725853932215,152.1
c5a.12xlarge,18.0,1.585,77.79999999999998,0.2096050433399644,0.9829575882983512,0.01704241170164877,228.2
c5a.16xlarge,24.0,2.1146774193548388,103.66290322580645,0.279814793995253,0.9829381431422876,0.017061856857712446,304.3
c5a.24xlarge,36.0,3.1711290322580643,155.50483870967744,0.41946222260349786,0.9829494420436117,0.017050557956388317,456.4
c5ad.large,0.9,0.0664516129032258,3.2169354838709676,0.009199559438394983,0.981368326710258,0.018631673289742016,9.5
c5ad.xlarge,1.7,0.1320967741935484,6.466129032258064,0.017280284158645593,0.9833144473620252,0.016685552637974777,19.0
c5ad.2xlarge,3.5,0.26370967741935486,12.976612903225805,0.0348524278547036,0.9829778835572326,0.017022116442767413,38.0
c5ad.4xlarge,7.0,0.5283870967741936,25.93951612903226,0.06939332203144509,0.9831860820339368,0.01681391796606324,76.1
c5ad.8xlarge,13.9,1.0566129032258065,51.86048387096774,0.14021192800708202,0.9828427414606778,0.01715725853932215,152.1
c5ad.12xlarge,20.9,1.585,77.79999999999998,0.2096050433399644,0.9829575882983512,0.01704241170164877,228.2
c5ad.16xlarge,27.9,2.1146774193548388,103.66290322580645,0.279814793995253,0.9829381431422876,0.017061856857712446,304.3
c5ad.24xlarge,41.8,3.1711290322580643,155.50483870967744,0.41946222260349786,0.9829494420436117,0.017050557956388317,456.4
